Time(s),Range(m),Range_Rate(m/s),Station_ID
0.0,3804667.985855,-1050.874546927,337
20.0,3785734.353535,-841.84238237,337
40.0,3771017.732122,-629.297670376,337
60.0,3760580.809039,-414.001756791,337
80.0,3754470.7276,-196.752298222,337
100.0,3752718.151028,21.609829087,337
120.0,3755336.8931,240.237277098,337
140.0,3762323.648707,458.270512157,337
160.0,3773658.144225,674.867515792,337
180.0,3789303.336338,889.211267983,337
200.0,3809206.361295,1100.524806706,337
220.0,3833299.21483,1308.07717622,337
3420.0,3846359.027979,-4914.773082458,101
3440.0,3749013.1853,-4818.163301114,101
3460.0,3653701.035366,-4711.270419069,101
3480.0,3560636.330734,-4593.282811698,101
3500.0,3470049.414648,-4463.348333843,101
3520.0,3382187.917079,-4320.590514534,101
3540.0,3297317.189614,-4164.120405177,101
3560.0,3215720.348328,-3993.061897479,101
3580.0,3137697.621279,-3806.571032488,101
3600.0,3063565.564944,-3603.878644487,101
3620.0,2993654.894804,-3384.335243558,101
3640.0,2928307.786965,-3147.454970876,101
3660.0,2867874.153657,-2892.968075118,101
3680.0,2812706.359368,-2620.897958449,101
3700.0,2763153.139538,-2331.602821804,101
3720.0,2719552.216507,-2025.832014896,101
3740.0,2682221.911095,-1704.772407931,101
3760.0,2651452.344689,-1370.068991704,101
3780.0,2627496.220135,-1023.811423093,101
3800.0,2610560.249464,-668.5065174,101
3820.0,2600797.38419,-306.995767829,101
3840.0,2598301.135968,57.622723408,101
3860.0,2603101.60311,422.139700908,101
3880.0,2615164.566049,783.345742327,101
3900.0,2634392.850491,1138.175595613,101
3920.0,2660630.373336,1483.830482305,101
3940.0,2693668.446716,1817.856945145,101
3960.0,2733253.487717,2138.223920325,101
3980.0,2779095.686871,2443.348457433,101
4000.0,2830878.155918,2732.101959147,101
4020.0,2888265.855814,3003.782318119,101
4040.0,2950913.45768,3258.070841478,101
4060.0,3018472.84599,3494.985021689,101
4080.0,3090598.882705,3714.806596937,101
4100.0,3166954.47206,3918.035705681,101
4120.0,3247214.070581,4105.330825352,101
4140.0,3331066.488364,4277.452990519,101
4160.0,3418216.552582,4435.238322883,101
4180.0,3508386.145286,4579.550447297,101
4200.0,3601314.599768,4711.264556042,101
4220.0,3696758.558995,4831.245698352,101
4240.0,3794491.724471,4940.321639467,101
4720.0,3757019.329875,-4897.081708597,394
4740.0,3660013.447749,-4801.930902188,394
4760.0,3565007.764913,-4696.930639814,394
4780.0,3472207.13335,-4581.291315851,394
4800.0,3381832.641455,-4454.171669641,394
4820.0,3294122.502715,-4314.707785784,394
4840.0,3209332.499886,-4162.013065242,394
4860.0,3127736.13283,-3995.201269776,394
4880.0,3049624.273645,-3813.422418452,394
4900.0,2975304.365813,-3615.879288123,394
4920.0,2905098.726769,-3401.892698967,394
4940.0,2839341.94328,-3170.922315269,394
4960.0,2778377.32341,-2922.640854709,394
4980.0,2722552.082423,-2656.999132045,394
5000.0,2672211.292894,-2374.274579977,394
5020.0,2627690.705113,-2075.127466422,394
5040.0,2589308.495886,-1760.655329142,394
5060.0,2557356.294178,-1432.423243731,394
5080.0,2532090.037633,-1092.437553766,394
5100.0,2513720.839518,-743.152865355,394
5120.0,2502407.230974,-387.372907817,394
5140.0,2498248.703386,-28.177038398,394
5160.0,2501281.520477,331.220239494,394
5180.0,2511477.273596,687.584236088,394
5200.0,2528744.009364,1037.81909596,394
5220.0,2552930.027286,1379.066984565,394
5240.0,2583830.047831,1708.833852242,394
5260.0,2621192.934392,2025.044526269,394
5280.0,2664730.561909,2326.081054143,394
5300.0,2714127.139996,2610.781443643,394
5320.0,2769048.059458,2878.43097351,394
5340.0,2829148.53095,3128.706743202,394
5360.0,2894080.58365,3361.622264325,394
5380.0,2963499.643987,3577.475320894,394
5400.0,3037069.221976,3776.772332085,394
5420.0,3114464.715576,3960.192198716,394
5440.0,3195376.21642,4128.511977708,394
5460.0,3279510.233487,4282.588321269,394
5480.0,3366590.64313,4423.296806482,394
5500.0,3456358.960416,4551.532316455,394
5520.0,3548574.525245,4668.160987449,394
5540.0,3643013.760953,4774.035182161,394
5560.0,3739469.559266,4869.95330432,394
5580.0,3837750.516135,4956.670142338,394
5660.0,3838521.797043,-6104.878599315,337
5680.0,3716651.793676,-6081.274580185,337
5700.0,3595306.847211,-6052.27113677,337
5720.0,3474601.251922,-6017.223947441,337
5740.0,3354663.193635,-5975.380357796,337
5760.0,3235637.077787,-5925.871874966,337
5780.0,3117686.288393,-5867.667179531,337
5800.0,3000996.287296,-5799.573788752,337
5820.0,2885778.440237,-5720.202817434,337
5840.0,2772274.264888,-5627.914505614,337
5860.0,2660760.557341,-5520.812855431,337
5880.0,2551555.193754,-5396.685007952,337
5900.0,2445023.543662,-5252.981848969,337
5920.0,2341585.736509,-5086.784223717,337
5940.0,2241724.041936,-4894.791795388,337
5960.0,2145990.305599,-4673.35336397,337
5980.0,2055012.443888,-4418.534167889,337
6000.0,1969498.571726,-4126.282323175,337
6020.0,1890236.95563,-3792.688322739,337
6040.0,1818089.260329,-3414.398526855,337
6060.0,1753974.252193,-2989.176662949,337
6080.0,1698838.47834,-2516.590707727,337
6100.0,1653613.214425,-1998.7246169,337
6120.0,1619157.26002,-1440.806375244,337
6140.0,1596191.445866,-851.419252283,337
6160.0,1585233.111694,-242.20946512,337
6180.0,1586543.693156,373.06962857,337
6200.0,1600099.951284,979.987026765,337
6220.0,1625597.116076,1565.072907613,337
6240.0,1662482.168643,2117.166036694,337
6260.0,1710009.684443,2628.267336612,337
6280.0,1767307.980124,3093.737194961,337
6300.0,1833443.643994,3511.960174259,337
6320.0,1907476.293554,3883.726207789,337
6340.0,1988499.148048,4211.494449369,337
6360.0,2075665.82329,4498.73549073,337
6380.0,2168204.587531,4749.379455776,337
6400.0,2265423.948904,4967.459004151,337
6420.0,2366711.704107,5156.841682833,337
6440.0,2471530.213503,5321.10510002,337
6460.0,2579409.940621,5463.466071704,337
6480.0,2689941.861427,5586.766477623,337
6500.0,2802770.072456,5693.479483093,337
6520.0,2917584.874186,5785.755376514,337
6540.0,3034116.388686,5865.433547703,337
6560.0,3152128.786122,5934.089986024,337
6580.0,3271415.590206,5993.083903403,337
6600.0,3391795.374545,6043.565336618,337
6620.0,3513108.098306,6086.526224395,337
6640.0,3635212.052019,6122.818388944,337
6660.0,3757981.290409,6153.16788012,337
9280.0,3720005.245143,-6642.29586098,101
9300.0,3587121.998515,-6645.594830115,101
9320.0,3454199.767957,-6646.142628609,101
9340.0,3321296.806583,-6643.608768241,101
9360.0,3188478.559485,-6637.599307615,101
9380.0,3055819.188919,-6627.631184745,101
9400.0,2923403.603866,-6613.116260422,101
9420.0,2791329.750475,-6593.324340213,101
9440.0,2659711.802702,-6567.353634629,101
9460.0,2528684.268617,-6534.073618601,101
9480.0,2398407.087207,-6492.051763032,101
9500.0,2269072.470761,-6439.47276164,101
9520.0,2140914.022829,-6373.992073182,101
9540.0,2014218.72705,-6292.58393635,101
9560.0,1889342.858437,-6191.299772359,101
9580.0,1766733.511809,-6064.944499697,101
9600.0,1646957.264123,-5906.681005369,101
9620.0,1530738.500872,-5707.480880391,101
9640.0,1419009.028224,-5455.513275501,101
9660.0,1312970.71828,-5135.510268383,101
9680.0,1214167.984153,-4728.487977109,101
9700.0,1124558.103279,-4212.399641736,101
9720.0,1046548.696173,-3565.004710235,101
9740.0,982942.604186,-2770.480368188,101
9760.0,936707.711459,-1830.203323104,101
9780.0,910514.056458,-774.104003642,101
9800.0,906111.26439,336.514120563,101
9820.0,923810.678851,1422.836330369,101
9840.0,962383.921215,2414.055533193,101
9860.0,1019446.188467,3267.370910378,101
9880.0,1092077.884014,3971.293816085,101
9900.0,1177369.930349,4536.338347427,101
9920.0,1272743.672484,4983.261227926,101
9940.0,1376064.551582,5334.71106995,101
9960.0,1485632.362171,5611.062955356,101
9980.0,1600118.712009,5829.044329213,101
10000.0,1718493.197366,6001.785013408,101
10020.0,1839956.110364,6139.342203726,101
10040.0,1963883.575133,6249.346521653,101
10060.0,2089785.22824,6337.592853092,101
10080.0,2217271.725572,6408.471440585,101
10100.0,2346030.855435,6465.34789528,101
10120.0,2475809.58212,6510.805957134,101
10140.0,2606400.46229,6546.858841542,101
10160.0,2737631.686448,6575.070670118,101
10180.0,2869359.401232,6596.687864191,101
10200.0,3001461.838111,6612.692515568,101
10220.0,3133835.057036,6623.88009068,101
10240.0,3266389.202692,6630.886691783,101
10260.0,3399046.141949,6634.235984675,101
10280.0,3531737.126889,6634.353698426,101
10300.0,3664401.104762,6631.594820404,101
10320.0,3796983.617883,6626.248568374,101
10900.0,3768580.727598,-4521.945116602,394
10920.0,3679241.719024,-4410.309382341,394
10940.0,3592236.459843,-4288.456337345,394
10960.0,3507775.989984,-4155.720733763,394
10980.0,3426084.750066,-4011.419865494,394
11000.0,3347400.582077,-3854.907256142,394
11020.0,3271974.17255,-3685.546696933,394
11040.0,3200068.175277,-3502.776797154,394
11060.0,3131955.823557,-3306.108468707,394
11080.0,3067918.887025,-3095.183417161,394
11100.0,3008244.999999,-2869.784898984,394
11120.0,2953224.069186,-2629.906883893,394
11140.0,2903143.948872,-2375.75812508,394
11160.0,2858285.663695,-2107.829809452,394
11180.0,2818917.425836,-1826.908628396,394
11200.0,2785288.602782,-1534.098811746,394
11220.0,2757623.333736,-1230.82077756,394
11240.0,2736114.02945,-918.811364957,394
11260.0,2720915.713566,-600.082199949,394
11280.0,2712140.759354,-276.866209318,394
11300.0,2709855.108643,48.446053857,394
11320.0,2714076.127526,373.387246567,394
11340.0,2724771.739826,695.504228598,394
11360.0,2741861.764222,1012.447325199,394
11380.0,2765220.587142,1322.040773614,394
11400.0,2794681.460326,1622.35433998,394
11420.0,2830041.788826,1911.738545357,394
11440.0,2871069.206937,2188.866299144,394
11460.0,2917507.996246,2452.73494239,394
11480.0,2969085.451705,2702.642999592,394
11500.0,3025517.907605,2938.190737769,394
11520.0,3086516.3716,3159.237046207,394
11540.0,3151791.141734,3365.854617866,394
11560.0,3221056.039241,3558.303060035,394
11580.0,3294031.533463,3736.989443431,394
11600.0,3370447.322082,3902.425698903,394
11620.0,3450044.181798,4055.197942317,394
11640.0,3532575.106731,4195.945712725,394
11660.0,3617806.309866,4325.33592476,394
11680.0,3512340.043071,-6486.597297695,337
11700.0,3382778.210735,-6468.774649349,337
11720.0,3253623.958017,-6445.722935561,337
11740.0,3124988.994952,-6416.710899042,337
11760.0,2997001.142713,-6380.848617137,337
11780.0,2869807.827496,-6337.062463659,337
11800.0,2743580.083918,-6284.053302326,337
11820.0,2618517.773954,-6220.227706863,337
11840.0,2494855.880133,-6143.649750217,337
11860.0,2372872.545587,-6051.93247,337
11880.0,2252898.94709,-5942.135904941,337
11900.0,2135331.495698,-5810.655442853,337
11920.0,2020646.703206,-5653.054633804,337
11940.0,1909419.213419,-5463.933599251,337
11960.0,1802342.722208,-5236.770451082,337
11980.0,1700253.073905,-4963.865046749,337
12000.0,1604151.533789,-4636.412855874,337
12020.0,1515223.724253,-4244.883601941,337
12040.0,1434846.062823,-3779.92327618,337
12060.0,1364567.75163,-3233.949887593,337
12080.0,1306052.361152,-2603.575395004,337
12100.0,1260964.463918,-1892.571737669,337
12120.0,1230799.834079,-1114.375492624,337
12140.0,1216680.705183,-292.76026159,337
12160.0,1219168.914752,540.702102815,337
12180.0,1238161.001272,1352.14374141,337
12200.0,1272907.938463,2111.888689227,337
12220.0,1322151.17341,2799.187129138,337
12240.0,1384321.580443,3403.715643266,337
12260.0,1457738.053241,3924.190545996,337
12280.0,1540761.24428,4365.574164703,337
12300.0,1631889.200715,4736.215895906,337
12320.0,1729801.916125,5045.658674908,337
12340.0,1833370.332216,5303.286918542,337
12360.0,1941644.950357,5517.601842376,337
12380.0,2053834.93761,5695.950803886,337
12400.0,2169284.625302,5844.506029692,337
12420.0,2287450.755804,5968.362896426,337
12440.0,2407882.46991,6071.68941844,337
12460.0,2530204.296263,6157.883802419,337
12480.0,2654102.010468,6229.693091002,337
12500.0,2779311.249276,6289.369053656,337
12520.0,2905608.134142,6338.734916088,337
12540.0,3032801.948082,6379.286336817,337
12560.0,3160729.109173,6412.253896643,337
12580.0,3289248.28398,6438.642172961,337
12600.0,3418236.61329,6459.297583497,337
12620.0,3547586.58093,6474.912146353,337
12640.0,3677203.423372,6486.073290722,337
12660.0,3807003.095967,6493.270996036,337
15480.0,3824233.208614,-3114.511176061,101
15500.0,3763767.911781,-2930.374559005,101
15520.0,3707083.812773,-2736.400933811,101
15540.0,3654376.673552,-2532.712116003,101
15560.0,3605838.650679,-2319.538007902,101
15580.0,3561655.90062,-2097.252962493,101
15600.0,3522005.926804,-1866.3584331,101
15620.0,3487054.662047,-1627.501828826,101
15640.0,3456953.666148,-1381.474215474,101
15660.0,3431837.366172,-1129.20157282,101
15680.0,3411820.146495,-871.751971402,101
15700.0,3396994.074435,-610.290181305,101
15720.0,3387426.863552,-346.085717818,101
15740.0,3383160.151285,-80.463065529,101
15760.0,3384208.705835,185.211296723,101
15780.0,3390559.782481,449.565663858,101
15800.0,3402173.564684,711.260087491,101
15820.0,3418983.924281,969.018042309,101
15840.0,3440899.962271,1221.636873887,101
15860.0,3467807.878003,1468.034746897,101
15880.0,3499573.422784,1707.249605233,101
15900.0,3536044.46085,1938.459461016,101
15920.0,3577053.84094,2160.986169251,101
15940.0,3622422.42518,2374.29726975,101
15960.0,3671961.648401,2577.9987969,101
15980.0,3725476.54183,2771.832500343,101
16000.0,3782768.148868,2955.656559623,101
16020.0,3843635.86385,3129.442576313,101
17040.0,3805411.090574,-4733.257396223,394
17060.0,3711721.793417,-4634.104172071,394
17080.0,3620111.860951,-4525.203361928,394
17100.0,3530783.496075,-4405.82852952,394
17120.0,3443953.483378,-4275.237517959,394
17140.0,3359853.897534,-4132.664707959,394
17160.0,3278731.870676,-3977.35112598,394
17180.0,3200849.679442,-3808.562818101,394
17200.0,3126483.804099,-3625.60877469,394
17220.0,3055923.94285,-3427.871436158,394
17240.0,2989470.793605,-3214.86181833,394
17260.0,2927433.585077,-2986.239076697,394
17280.0,2870126.197636,-2741.877462567,394
17300.0,2817862.724732,-2481.89369776,394
17320.0,2770951.918502,-2206.708200659,394
17340.0,2729690.750294,-1917.083146794,394
17360.0,2694357.336971,-1614.148657526,394
17380.0,2665203.534846,-1299.410756461,394
17400.0,2642447.183771,-974.743232182,394
17420.0,2626265.284508,-642.359329262,394
17440.0,2616787.672656,-304.750079858,394
17460.0,2614092.318541,35.40590065,394
17480.0,2618202.383517,375.328637486,394
17500.0,2629085.377768,712.241628991,394
17520.0,2646654.344924,1043.497007681,394
17540.0,2670771.177097,1366.645097771,394
17560.0,2701251.69338,1679.536112158,394
17580.0,2737872.002331,1980.352543656,394
17600.0,2780375.627008,2267.656275765,394
17620.0,2828481.102707,2540.392912969,394
17640.0,2881889.422006,2797.856010836,394
17660.0,2940291.023123,3039.684533646,394
17680.0,3003371.964283,3265.802156099,394
17700.0,3070819.409835,3476.379153191,394
17720.0,3142325.953987,3671.784024221,394
17740.0,3217593.072652,3852.533622395,394
17760.0,3296333.738292,4019.252985122,394
17780.0,3378274.309154,4172.641912202,394
17800.0,3463155.471323,4313.440511298,394
17820.0,3405271.403223,-3046.336652142,337
17840.0,3346606.89203,-2817.929391788,337
17860.0,3292640.785809,-2576.542349225,337
17880.0,3243629.462328,-2322.526788812,337
17900.0,3199820.130105,-2056.460335193,337
17920.0,3161445.918537,-1779.168388398,337
17940.0,3128721.109422,-1491.722834409,337
17960.0,3101835.934498,-1195.442662926,337
17980.0,3080951.921495,-891.882459871,337
18000.0,3066197.491575,-582.79577731,337
18020.0,3057664.162551,-270.100133215,337
18040.0,3055403.972136,44.17637463,337
18060.0,3059427.8388,357.953959737,337
18080.0,3069705.026841,669.172393373,337
18100.0,3086164.349904,975.840886773,337
18120.0,3108695.896619,1276.101554092,337
18140.0,3137154.480584,1568.282502292,337
18160.0,3171363.540637,1850.922953765,337
18180.0,3211119.698085,2122.808227183,337
18200.0,3256197.714718,2382.971274151,337
18220.0,3306355.576133,2630.69362534,337
18240.0,3361339.321667,2865.496445077,337
18260.0,3420887.556124,3087.117901959,337
18280.0,3484735.668091,3295.487867976,337
18300.0,3552619.306775,3490.699703695,337
18320.0,3624277.51621,3672.991368214,337
18340.0,3699455.13048,3842.706946059,337
